id,hotel_id,url_id,language,amenity,created_at
1,3ca1a55e-c818-432d-817b-77a9924c586a,0be5194c-0489-4065-a156-b1dc20755602,en,Breakfast,2026-03-26 22:24:53.953539+00
2,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,2 swimming pools,2026-03-26 22:27:46.778099+00
3,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Free WiFi,2026-03-26 22:27:46.778102+00
4,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Airport shuttle,2026-03-26 22:27:46.778102+00
5,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Family rooms,2026-03-26 22:27:46.778103+00
6,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,8 restaurants,2026-03-26 22:27:46.778103+00
7,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Tea/coffee maker in all rooms,2026-03-26 22:27:46.778104+00
8,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Bar,2026-03-26 22:27:46.778104+00
9,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Beachfront,2026-03-26 22:27:46.778105+00
10,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Private beach area,2026-03-26 22:27:46.778105+00
11,40ccbc88-add1-4521-92c6-ed2310a7fd3c,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,en,Breakfast,2026-03-26 22:27:46.778106+00
12,09bf9ad7-d055-4ebd-8cf1-b5a96f3bd298,0be5194c-0489-4065-a156-b1dc20755602,es,Desayuno,2026-03-26 22:29:04.318002+00
13,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,2 piscinas,2026-03-26 22:30:33.065358+00
14,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,WiFi gratis,2026-03-26 22:30:33.065361+00
15,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Traslado aeropuerto,2026-03-26 22:30:33.065362+00
16,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Habitaciones familiares,2026-03-26 22:30:33.065362+00
17,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,8 restaurantes,2026-03-26 22:30:33.065363+00
18,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Tetera/cafetera en todas las habitaciones,2026-03-26 22:30:33.065364+00
19,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Bar,2026-03-26 22:30:33.065364+00
20,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Situado frente a la playa,2026-03-26 22:30:33.065365+00
21,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Zona privada de playa,2026-03-26 22:30:33.065366+00
22,37ef2508-6ab6-4118-a08d-953a4b1c4130,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,es,Desayuno,2026-03-26 22:30:33.065366+00
23,d7410c69-ae5b-4b5d-8638-1ee615a5c804,0be5194c-0489-4065-a156-b1dc20755602,de,Frühstück,2026-03-26 22:32:00.628656+00
24,d7410c69-ae5b-4b5d-8638-1ee615a5c804,0be5194c-0489-4065-a156-b1dc20755602,de,1 Einrichtung anzeigen,2026-03-26 22:32:00.62866+00
25,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,2 Pools,2026-03-26 22:33:18.071926+00
26,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,WLAN inklusive,2026-03-26 22:33:18.071931+00
27,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Flughafenshuttle,2026-03-26 22:33:18.071932+00
28,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Familienzimmer,2026-03-26 22:33:18.071933+00
29,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,8 Restaurants,2026-03-26 22:33:18.071934+00
30,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Kaffee- und Teezubehör in allen Zimmern,2026-03-26 22:33:18.071935+00
31,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Bar,2026-03-26 22:33:18.071936+00
32,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,am Strand,2026-03-26 22:33:18.071937+00
33,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Privater Strand,2026-03-26 22:33:18.071938+00
34,9fcbef0b-1365-4bf4-9ae7-b9a3f20f1cc4,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,de,Frühstück,2026-03-26 22:33:18.071939+00
35,651205c9-ff18-4a56-bc76-883d41e582d4,0be5194c-0489-4065-a156-b1dc20755602,it,Colazione,2026-03-26 22:34:35.592253+00
36,651205c9-ff18-4a56-bc76-883d41e582d4,0be5194c-0489-4065-a156-b1dc20755602,it,Vedi 1 servizio,2026-03-26 22:34:35.592256+00
37,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,2 piscine,2026-03-26 22:36:10.011959+00
38,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Connessione WiFi gratuita,2026-03-26 22:36:10.011962+00
39,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Navetta aeroportuale,2026-03-26 22:36:10.011963+00
40,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Disponibilità di camere familiari,2026-03-26 22:36:10.011964+00
41,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,8 ristoranti,2026-03-26 22:36:10.011964+00
42,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,bollitore tè / macchina caffè in tutte le camere,2026-03-26 22:36:10.011965+00
43,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Bar,2026-03-26 22:36:10.011965+00
44,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Fronte spiaggia,2026-03-26 22:36:10.011966+00
45,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Spiaggia privata,2026-03-26 22:36:10.011967+00
46,125e7b87-8e86-4534-a750-2cee401b61a8,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,it,Colazione,2026-03-26 22:36:10.011967+00
47,8c2ec755-a487-4b7d-88d3-8aead7debe0c,0be5194c-0489-4065-a156-b1dc20755602,fr,Petit-déjeuner,2026-03-26 22:37:27.275715+00
48,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,2 piscines,2026-03-26 22:38:44.273452+00
49,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Connexion Wi-Fi gratuite,2026-03-26 22:38:44.273455+00
50,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Navette aéroport,2026-03-26 22:38:44.273456+00
51,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Chambres familiales,2026-03-26 22:38:44.273457+00
52,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,8 restaurants,2026-03-26 22:38:44.273457+00
53,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Plateau/bouilloire dans tous les hébergements,2026-03-26 22:38:44.273458+00
54,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Bar,2026-03-26 22:38:44.273458+00
55,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,En bord de plage,2026-03-26 22:38:44.273459+00
56,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Plage privée,2026-03-26 22:38:44.27346+00
57,b12f9923-284e-4e43-93cb-a278205f3883,0c3b1000-ce1f-4a0b-8c0a-6ce4068c445c,fr,Petit-déjeuner,2026-03-26 22:38:44.27346+00
58,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Outdoor swimming pool,2026-03-26 22:41:36.037395+00
59,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Airport shuttle (free),2026-03-26 22:41:36.037398+00
60,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Non-smoking rooms,2026-03-26 22:41:36.037398+00
61,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Spa and wellness centre,2026-03-26 22:41:36.037399+00
62,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Fitness centre,2026-03-26 22:41:36.037399+00
63,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Beachfront,2026-03-26 22:41:36.0374+00
64,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Free WiFi,2026-03-26 22:41:36.0374+00
65,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Bar,2026-03-26 22:41:36.037401+00
66,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Private beach area,2026-03-26 22:41:36.037401+00
67,fafcca95-621b-4a4d-8498-1f72b8143f9e,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,en,Breakfast,2026-03-26 22:41:36.037402+00
68,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Outdoor swimming pool,2026-03-26 22:44:31.615012+00
69,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Spa and wellness centre,2026-03-26 22:44:31.615016+00
70,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Fitness centre,2026-03-26 22:44:31.615016+00
71,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Non-smoking rooms,2026-03-26 22:44:31.615017+00
72,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Restaurant,2026-03-26 22:44:31.615017+00
73,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Free WiFi,2026-03-26 22:44:31.615018+00
74,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Free parking,2026-03-26 22:44:31.615019+00
75,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Tea/coffee maker in all rooms,2026-03-26 22:44:31.615019+00
76,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Bar,2026-03-26 22:44:31.61502+00
77,4973394b-53d3-4a30-b733-4670dc73f622,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,en,Breakfast,2026-03-26 22:44:31.61502+00
78,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Piscina al aire libre,2026-03-26 22:45:48.616399+00
79,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Traslado aeropuerto (gratis),2026-03-26 22:45:48.616403+00
80,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Habitaciones sin humo,2026-03-26 22:45:48.616403+00
81,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Spa y centro de bienestar,2026-03-26 22:45:48.616404+00
82,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Gimnasio,2026-03-26 22:45:48.616405+00
83,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Situado frente a la playa,2026-03-26 22:45:48.616405+00
84,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,WiFi gratis,2026-03-26 22:45:48.616406+00
85,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Bar,2026-03-26 22:45:48.616407+00
86,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Zona privada de playa,2026-03-26 22:45:48.616408+00
87,a68cb069-6742-4f1a-86eb-aa1d63457c91,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,es,Desayuno,2026-03-26 22:45:48.616408+00
88,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Piscina al aire libre,2026-03-26 22:47:08.448633+00
89,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Spa y centro de bienestar,2026-03-26 22:47:08.448636+00
90,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Gimnasio,2026-03-26 22:47:08.448637+00
91,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Habitaciones sin humo,2026-03-26 22:47:08.448638+00
92,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Restaurante,2026-03-26 22:47:08.448638+00
93,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,WiFi gratis,2026-03-26 22:47:08.448639+00
94,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Parking gratis,2026-03-26 22:47:08.448639+00
95,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Tetera/cafetera en todas las habitaciones,2026-03-26 22:47:08.44864+00
96,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Bar,2026-03-26 22:47:08.448641+00
97,1c9385cc-0922-460c-ae8d-94cb0b4cfabc,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,es,Desayuno,2026-03-26 22:47:08.448641+00
98,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Außenpool,2026-03-26 22:48:27.143734+00
99,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Flughafentransfer (kostenlos),2026-03-26 22:48:27.143737+00
100,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Nichtraucherzimmer,2026-03-26 22:48:27.143738+00
101,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Spa & Wellnesscenter,2026-03-26 22:48:27.143738+00
102,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Fitnesscenter,2026-03-26 22:48:27.143739+00
103,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,am Strand,2026-03-26 22:48:27.14374+00
104,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,WLAN inklusive,2026-03-26 22:48:27.14374+00
105,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Bar,2026-03-26 22:48:27.143741+00
106,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Privater Strand,2026-03-26 22:48:27.143742+00
107,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,Frühstück,2026-03-26 22:48:27.143742+00
108,46cd11e2-704a-4cec-925e-ada541dfae11,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,de,101 Einrichtungen anzeigen,2026-03-26 22:48:27.143743+00
109,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Außenpool,2026-03-26 22:50:00.226021+00
110,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Spa & Wellnesscenter,2026-03-26 22:50:00.226023+00
111,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Fitnesscenter,2026-03-26 22:50:00.226024+00
112,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Nichtraucherzimmer,2026-03-26 22:50:00.226025+00
113,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Restaurant,2026-03-26 22:50:00.226025+00
114,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,WLAN inklusive,2026-03-26 22:50:00.226026+00
115,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Parkplatz inbegriffen,2026-03-26 22:50:00.226026+00
116,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Kaffee- und Teezubehör in allen Zimmern,2026-03-26 22:50:00.226027+00
117,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Bar,2026-03-26 22:50:00.226027+00
118,ff3a53fc-d3bb-4a60-b8e8-8aa82c153f07,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,de,Frühstück,2026-03-26 22:50:00.226028+00
119,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Piscina scoperta,2026-03-26 22:51:18.349069+00
120,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Navetta aeroportuale (gratuita),2026-03-26 22:51:18.349073+00
121,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Camere non fumatori,2026-03-26 22:51:18.349073+00
122,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Spa & centro benessere,2026-03-26 22:51:18.349074+00
123,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Palestra,2026-03-26 22:51:18.349075+00
124,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Fronte spiaggia,2026-03-26 22:51:18.349075+00
125,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Connessione WiFi gratuita,2026-03-26 22:51:18.349076+00
126,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Bar,2026-03-26 22:51:18.349077+00
127,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Spiaggia privata,2026-03-26 22:51:18.349077+00
128,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Colazione,2026-03-26 22:51:18.349078+00
129,34e5bc73-b09f-48ee-9bea-dbc5b3c334ad,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,it,Vedi tutti e 101 i servizi,2026-03-26 22:51:18.349079+00
130,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Piscina scoperta,2026-03-26 22:52:35.344222+00
131,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Spa & centro benessere,2026-03-26 22:52:35.344226+00
132,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Palestra,2026-03-26 22:52:35.344227+00
133,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Camere non fumatori,2026-03-26 22:52:35.344227+00
134,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Ristorante,2026-03-26 22:52:35.344228+00
135,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Connessione WiFi gratuita,2026-03-26 22:52:35.344229+00
136,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Parcheggio gratuito,2026-03-26 22:52:35.344229+00
137,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,bollitore tè / macchina caffè in tutte le camere,2026-03-26 22:52:35.34423+00
138,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Bar,2026-03-26 22:52:35.34423+00
139,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Colazione,2026-03-26 22:52:35.344231+00
140,974eb359-6cd9-4238-b319-b8b36630cc99,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,it,Vedi tutti e 88 i servizi,2026-03-26 22:52:35.344232+00
141,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Piscine extérieure,2026-03-26 22:53:55.071987+00
142,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Navette aéroport (gratuite),2026-03-26 22:53:55.071991+00
143,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Chambres non-fumeurs,2026-03-26 22:53:55.071992+00
144,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Spa et centre de bien-être,2026-03-26 22:53:55.071993+00
145,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Centre de remise en forme,2026-03-26 22:53:55.071995+00
146,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,En bord de plage,2026-03-26 22:53:55.071996+00
147,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Connexion Wi-Fi gratuite,2026-03-26 22:53:55.071997+00
148,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Bar,2026-03-26 22:53:55.071998+00
149,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Plage privée,2026-03-26 22:53:55.072+00
150,813d779e-1881-475a-98fc-33da71ac3581,d39b8b6a-6a1e-4801-8f45-3c072aa1488a,fr,Petit-déjeuner,2026-03-26 22:53:55.072001+00
151,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Piscine extérieure,2026-03-26 22:55:27.85028+00
152,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Spa et centre de bien-être,2026-03-26 22:55:27.850285+00
153,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Centre de remise en forme,2026-03-26 22:55:27.850285+00
154,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Chambres non-fumeurs,2026-03-26 22:55:27.850286+00
155,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Restaurant,2026-03-26 22:55:27.850287+00
156,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Connexion Wi-Fi gratuite,2026-03-26 22:55:27.850287+00
157,83a5abf5-eff7-48c2-89d9-ad39fa44273d,6d776ce8-c2d6-4e92-bd3b-a4f64f43c9d7,fr,Parking gratuit,2026-03-26 22:55:27.850288+00
